config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,F1_macro_mean,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,Time_s
42,100,5,0.05,0.8,1.0,0.5773911644097807,0.1993107251171767,0.05742432735808659,0.16428571428571428,0.06751165180360869,0.33138888888888884,0.2398624859815483,0.041652085178823316,0.7464567456792432,32.70264983177185
43,100,5,0.05,1.0,0.8,0.587479143979037,0.21774144809438928,0.060101232773947716,0.17380952380952377,0.060045334347230916,0.3348443223443224,0.23819330657390556,0.04446986894495567,0.7530725183616856,32.391671895980835
44,100,5,0.05,1.0,1.0,0.5711417150634348,0.18782543582543582,0.07038607234566382,0.15523809523809523,0.07544877074414613,0.2842787114845938,0.2219034903345909,0.03709632338873666,0.7503453488553306,32.73738384246826
45,100,5,0.1,0.8,0.8,0.5915621008138796,0.22094613062132526,0.020974105117319012,0.15380952380952378,0.018540878413268368,0.43798701298701304,0.25943264480947426,0.031023003119055613,0.7666927370321639,32.10124683380127
46,100,5,0.1,0.8,1.0,0.5667189542367659,0.17432983682983683,0.012360495659830075,0.12523809523809523,0.024633366012147738,0.364032634032634,0.22747129644978373,0.03593338365466222,0.7685298406613101,32.32326102256775
47,100,5,0.1,1.0,0.8,0.5708406276888038,0.18328299120234606,0.012432081199852531,0.13476190476190472,0.019954596990244725,0.32,0.2219893401771016,0.047556286599535896,0.7526031849927309,32.080671072006226
48,100,5,0.1,1.0,1.0,0.5708988188690345,0.1809285714285714,0.02610379595509638,0.12523809523809523,0.024633366012147738,0.35952380952380947,0.2161925210814884,0.04070086395025732,0.7579062223795499,32.41224503517151
49,150,3,0.05,0.8,0.8,0.5996686932001859,0.24871175322788228,0.05844764910124359,0.2319047619047619,0.06880252065202672,0.2905238095238095,0.2357250972648292,0.042535976325500595,0.7581756977885828,31.35479712486267
50,150,3,0.05,0.8,1.0,0.5876629906180477,0.2267706831092302,0.0484773390474163,0.2123809523809524,0.05316299328362995,0.25820010055304177,0.23755931232573588,0.03815589987182984,0.7526804165024745,31.596441745758057
51,150,3,0.05,1.0,0.8,0.5981143425943772,0.24702771421306893,0.046074561724196654,0.2414285714285714,0.07221158128482805,0.2628235294117647,0.2253008550829258,0.03628907040066566,0.7496641575887917,31.39051914215088
52,150,3,0.05,1.0,1.0,0.5958697969305147,0.24289884529280079,0.06617532086824353,0.2419047619047619,0.0964870487002967,0.2565454545454545,0.22908047901723502,0.03240103734137285,0.7545837090271146,31.535667896270752
53,150,3,0.1,0.8,0.8,0.5977346432546722,0.23975851040800128,0.04278486800601467,0.20285714285714285,0.060052886744512174,0.3198484848484849,0.2471341935481562,0.030945512012078114,0.7692764416066113,31.48747181892395
54,150,3,0.1,0.8,1.0,0.6051947697108577,0.25254709254709257,0.06897090999676961,0.20142857142857143,0.05411837198162046,0.35334967320261434,0.24762500730962805,0.041027423271462936,0.7621111875485619,31.491975784301758
